name,affiliation,website,profile_image,affiliation_logo
Tao Long,Columbia University,https://iamtaolong.github.io/,images/organizers/tao.jpeg,images/logos/columbia.png
Sitong Wang,Columbia University,https://sitong-wang.github.io/,images/organizers/sitong.jpg,images/logos/columbia.png
Émilie Fabre,University of Tokyo,https://emiliefab.re/,images/organizers/emilie.jpeg,images/logos/tokyo.png
Tony Wang,Cornell University,https://www.tonyywang.com/,images/organizers/tony.jpg,images/logos/cornell.png
Anup Sathya,University of Chicago,https://anupsathya.com/,images/organizers/anup.jpeg,images/logos/uchicago.png
Jason Wu,Apple,https://jasonwunix.com/,images/organizers/jason.jpg,images/logos/apple.svg
Savvas Petridis,Google DeepMind,https://savvaspetridis.github.io/,images/organizers/savvas.jpeg,images/logos/google.png
Dingzeyu Li,Adobe Research,https://dingzeyu.li/,images/organizers/ding.jpg,images/logos/adobe.png
Jingyi Li,Pomona College,https://jingyi.me/,images/organizers/jingyi.jpg,images/logos/pomona.jpg
Tuhin Chakrabarty,"Salesforce AI Research|Stony Brook University",https://tuhinjubcse.github.io/,images/organizers/tuhin.png,"images/logos/salesforce.png|images/logos/stonybrook.png"
Yue Jiang,"Aalto University|University of Utah",https://yuejiang-nj.github.io/,images/organizers/yue.png,"images/logos/aalto.png|images/logos/utah.png"
Tiffany Tseng,Barnard College,https://tifftseng.com/,images/organizers/tiffany.jpeg,images/logos/barnard.png
Ken Nakagaki,University of Chicago,https://www.ken-nakagaki.com/,images/organizers/ken.png,images/logos/uchicago.png
Qian Yang,Cornell University,https://qianyang.co/,images/organizers/qian.png,images/logos/cornell.png
Nikolas Martelaro,Carnegie Mellon University,http://nikmartelaro.com/,images/organizers/nikolas.jpeg,images/logos/cmu.jpg
Jeffrey V Nickerson,Stevens Institute of Technology,https://www.stevens.edu/profile/jnickers,images/organizers/jeffrey.avif,images/logos/stevens.jpg
Lydia B Chilton,Columbia University,https://www.cs.columbia.edu/~chilton/,images/organizers/lydia.jpg,images/logos/columbia.png 
